District,Settlement,Settlement_ID,Long,Lat
Amuru,Elegu CP,1,32.07047,3.567
Adjumani,Pagirinya Settlement,2,32.00925,3.379
Adjumani,"Maaji I,II, III",3,31.66274606,3.19758096
Adjumani,"Mungula I, II",4,31.8157116,3.1579196
Adjumani,Boroli,5,31.866389,3.299444
Adjumani,Nyumanzi,6,31.951458,3.438461
Adjumani,"Ayilo I,II",7,31.96233333,3.2566
Hoima,Kyangwali,8,30.812695,1.211136
Kamwenge,Rwamwanja,9,30.630799,0.321722
Kisoro,Nyakabande TC,10,29.733334,-1.283333
Koboko,Kuluba CP,11,30.93260556,3.506605556
Arua,Ocea RC (Rhino),12,31.282122,3.072928
Arua,Rhino settlement,13,31.353345,2.965111
Kiryandongo,Kiryandongo TC,14,32.161478,1.938358
Kiryandongo,Kiryandongo Settlement,15,32.0651378,1.89279254
Yumbe,Bidibidi Settlement,16,31.44658,3.567
Moyo,Palorinya Settlement,17,31.659742,3.508815
Isingiro,Nakivale Settlement,18,30.949444,-0.776389
Isingiro,Oruchinga,19,30.637274,-0.961159
Arua,Imvepi Settlement,20,31.28612293,3.258081008
Lamwo,Palabek Settlement,21,32.412692,3.364856
Kyegegwa,Kyaka II settlement,22,31.081311,0.357999
